episode,reward
100,-0.04
200,-0.66
300,-0.8
400,-0.84
500,-0.74
600,-0.82
700,-0.78
800,-0.78
900,-0.6
1000,-0.66
1100,-0.38
1200,-0.58
1300,-0.64
1400,-0.58
1500,-0.56
1600,-0.54
1700,-0.56
1800,-0.7
1900,-0.76
2000,-0.56
2100,-0.58
2200,-0.78
2300,-0.72
2400,-0.6
2500,-0.68
2600,-0.62
2700,-0.62
2800,-0.68
2900,-0.58
3000,-0.4
3100,-0.48
3200,-0.62
3300,-0.58
3400,-0.28
3500,-0.44
3600,-0.42
3700,-0.42
3800,-0.24
3900,-0.38
4000,-0.24
4100,-0.18
4200,-0.18
4300,-0.14
4400,-0.02
4500,-0.16
4600,-0.08
4700,-0.14
4800,0.08
4900,0.06
5000,-0.22
5100,-0.04
5200,-0.16
5300,-0.22
5400,-0.1
5500,-0.1
5600,-0.12
5700,-0.18
5800,0.1
5900,-0.12
6000,-0.1
6100,-0.18
6200,0.0
6300,-0.06
6400,-0.08
6500,-0.02
6600,0.2
6700,0.18
6800,0.22
6900,0.16
7000,0.18
7100,0.18
7200,0.2
7300,-0.14
7400,0.14
7500,-0.08
7600,0.32
7700,0.16
7800,0.04
7900,0.12
8000,0.04
8100,0.2
8200,0.1
8300,-0.04
8400,0.16
8500,0.18
8600,-0.02
8700,0.08
8800,-0.1
8900,0.26
9000,0.12
9100,0.08
9200,0.22
9300,-0.02
9400,-0.14
9500,-0.26
9600,-0.1
9700,-0.04
9800,0.1
9900,0.2
10000,0.28
10100,0.22
10200,0.3
10300,0.22
10400,0.16
10500,0.26
10600,0.2
10700,0.08
10800,0.24
10900,0.26
11000,0.0
11100,0.2
11200,0.24
11300,0.12
11400,0.2
11500,0.32
11600,0.16
11700,0.36
11800,0.34
11900,0.26
12000,0.42
12100,0.26
12200,0.2
12300,0.26
12400,0.12
12500,0.14
12600,0.24
12700,0.32
12800,0.2
12900,0.4
13000,0.36
13100,0.34
13200,0.34
13300,0.22
13400,0.08
13500,0.1
13600,0.34
13700,0.14
13800,0.1
13900,0.34
14000,-0.04
14100,0.12
14200,0.04
14300,0.24
14400,0.32
14500,0.14
14600,0.22
14700,0.02
14800,0.22
14900,0.08
15000,0.12
15100,0.2
15200,0.12
15300,0.14
15400,0.24
15500,0.34
15600,0.34
15700,0.14
15800,0.18
15900,0.34
16000,0.44
16100,0.3
16200,0.18
16300,0.22
16400,0.02
16500,0.34
16600,0.14
16700,0.3
16800,0.0
16900,0.14
17000,0.46
17100,0.14
17200,0.3
17300,0.18
17400,0.3
17500,0.3
17600,0.46
17700,0.32
17800,0.3
17900,0.36
18000,0.26
18100,0.22
18200,0.08
18300,0.04
18400,0.2
18500,0.46
18600,0.28
18700,0.14
18800,0.24
18900,0.38
19000,0.38
19100,0.64
19200,0.18
19300,0.3
19400,0.38
19500,0.16
19600,0.36
19700,0.34
19800,0.4
19900,0.2
20000,0.24
20100,0.5
20200,0.42
20300,0.28
20400,0.42
20500,0.3
20600,0.2
20700,0.18
20800,0.32
20900,0.44
21000,0.44
21100,0.28
21200,0.32
21300,0.32
21400,0.3
21500,0.14
21600,0.22
21700,0.34
21800,0.38
21900,0.5
22000,0.38
22100,0.24
22200,0.26
22300,0.2
22400,0.32
22500,0.26
22600,0.24
22700,0.5
22800,0.34
22900,0.36
23000,0.46
23100,0.34
23200,0.34
23300,0.32
23400,0.46
23500,0.58
23600,0.18
23700,0.34
23800,0.58
23900,0.12
24000,0.24
24100,0.24
24200,0.4
24300,0.38
24400,0.38
24500,0.44
24600,0.38
24700,0.24
24800,0.48
24900,0.38
25000,0.34
25100,0.14
25200,0.2
25300,0.12
25400,0.34
25500,0.14
25600,0.36
25700,0.28
25800,0.28
25900,0.26
26000,0.16
26100,0.3
26200,0.22
26300,0.42
26400,0.4
26500,0.48
26600,0.32
26700,0.3
26800,0.22
26900,0.26
27000,0.38
27100,0.36
27200,0.4
27300,0.36
27400,0.28
27500,0.44
27600,0.42
27700,0.46
27800,0.38
27900,0.4
28000,0.5
28100,0.48
28200,0.66
28300,0.56
28400,0.42
28500,0.24
28600,0.28
28700,0.54
28800,0.52
28900,0.44
29000,0.26
29100,0.52
29200,0.4
29300,0.5
29400,0.42
29500,0.52
29600,0.3
29700,0.48
29800,0.36
29900,0.42
30000,0.34
30100,0.4
30200,0.44
30300,0.22
30400,0.48
30500,0.44
30600,0.3
30700,0.28
30800,0.42
30900,0.38
31000,0.44
31100,0.44
31200,0.4
31300,0.46
31400,0.38
31500,0.34
31600,0.26
31700,0.52
31800,0.34
31900,0.38
32000,0.44
32100,0.5
32200,0.38
32300,0.48
32400,0.48
32500,0.44
32600,0.38
32700,0.46
32800,0.48
32900,0.56
33000,0.62
33100,0.66
33200,0.4
33300,0.34
33400,0.5
33500,0.46
33600,0.44
33700,0.48
33800,0.4
33900,0.4
34000,0.44
34100,0.46
34200,0.3
34300,0.54
34400,0.56
34500,0.48
34600,0.5
34700,0.46
34800,0.62
34900,0.52
35000,0.54
35100,0.5
35200,0.4
35300,0.4
35400,0.4
35500,0.38
35600,0.58
35700,0.54
35800,0.44
35900,0.46
36000,0.4
36100,0.46
36200,0.52
36300,0.4
36400,0.44
36500,0.42
36600,0.54
36700,0.48
36800,0.48
36900,0.56
37000,0.3
37100,0.4
37200,0.42
37300,0.4
37400,0.36
37500,0.48
37600,0.26
37700,0.46
37800,0.56
37900,0.34
38000,0.38
38100,0.5
38200,0.3
38300,0.36
38400,0.54
38500,0.52
38600,0.46
38700,0.36
38800,0.5
38900,0.56
39000,0.44
39100,0.48
39200,0.34
39300,0.58
39400,0.44
39500,0.48
39600,0.3
39700,0.42
39800,0.52
39900,0.4
40000,0.6
40100,0.56
40200,0.56
40300,0.5
40400,0.56
40500,0.46
40600,0.52
40700,0.54
40800,0.46
40900,0.34
41000,0.4
41100,0.32
41200,0.44
41300,0.5
41400,0.4
41500,0.48
41600,0.48
41700,0.5
41800,0.56
41900,0.48
42000,0.62
42100,0.32
42200,0.48
42300,0.54
42400,0.58
42500,0.44
42600,0.62
42700,0.42
42800,0.44
42900,0.34
43000,0.4
43100,0.52
43200,0.54
43300,0.44
43400,0.58
43500,0.56
43600,0.5
43700,0.38
43800,0.34
43900,0.38
44000,0.4
44100,0.44
44200,0.58
44300,0.48
44400,0.54
44500,0.3
44600,0.48
44700,0.62
44800,0.52
44900,0.52
45000,0.42
45100,0.58
45200,0.56
45300,0.48
45400,0.32
45500,0.42
45600,0.48
45700,0.5
45800,0.38
45900,0.58
46000,0.42
46100,0.56
46200,0.46
46300,0.5
46400,0.54
46500,0.4
46600,0.58
46700,0.44
46800,0.46
46900,0.52
47000,0.54
47100,0.38
47200,0.42
47300,0.4
47400,0.42
47500,0.34
47600,0.66
47700,0.52
47800,0.5
47900,0.38
48000,0.52
48100,0.58
48200,0.5
48300,0.34
48400,0.46
48500,0.48
48600,0.36
48700,0.52
48800,0.48
48900,0.38
49000,0.42
49100,0.38
49200,0.3
49300,0.46
49400,0.22
49500,0.52
49600,0.44
49700,0.42
